model_name,use_smc,lmbda,resample_freq,t_start,t_end,num_particles,potential_type,seed,div_score,IR_avg,IR_max,ave_score,bon_score,job,results_filename
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,8,max,42,0.0,0.11764748772954868,1.1059798399495064,0.5690932597249087,0.5886686904506053,20241219-021926,results_185.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,2,max,43,0.0,0.35011446706371324,1.032749595276331,0.5678720717816462,0.6163910380399743,20241224-164719,results_130.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,2,max,43,0.0,0.35011446706371324,1.032749595276331,0.5678720717816462,0.6163910380399743,20241221-142832,results_54.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,2,max,43,0.0,0.35011446706371324,1.032749595276331,0.5678720717816462,0.6163910380399743,20241226-175528,results_31.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,8,max,43,0.0,0.10977343988316858,1.0446577733719409,0.5644241170570957,0.5800250734293287,20241221-190412,results_142.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,8,max,43,0.0,0.10977343988316858,1.0446577733719409,0.5644241170570957,0.5800250734293287,20241219-045204,results_106.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,2,max,42,0.0,0.3680517794581208,1.037898146835363,0.5638800684146429,0.6168715524034674,20241224-124611,results_78.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,2,max,42,0.0,0.3680517794581208,1.037898146835363,0.5638800684146429,0.6168715524034674,20241221-100703,results_7.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,2,max,42,0.0,0.3680517794581208,1.037898146835363,0.5638800684146429,0.6168715524034674,20241226-134916,results_168.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,2,max,42,0.0,0.3680517794581208,1.037898146835363,0.5638800684146429,0.6168715524034674,20241219-014610,results_126.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,2,max,44,0.0,0.36812249196450786,1.0496828566548695,0.5623180385414428,0.5944017300666237,20241224-204753,results_14.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,2,max,44,0.0,0.36812249196450786,1.0496828566548695,0.5623180385414428,0.5944017300666237,20241226-220119,results_184.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,2,max,44,0.0,0.36812249196450786,1.0496828566548695,0.5623180385414428,0.5944017300666237,20241219-093224,results_110.jsonl
stabilityai/stable-diffusion-xl-base-1.0,True,10.0,20,20,80,2,max,44,0.0,0.36812249196450786,1.0496828566548695,0.5623180385414428,0.5944017300666237,20241221-185252,results_163.jsonl
mhdang/dpo-sd1.5-text2image-v1,True,10.0,20,20,80,4,max,42,0.0,0.19486986902655248,0.9145883098162072,0.5615304194426535,0.5751225911598251,20241205-123253,results_35.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,8,max,42,0.0,0.11510571022160102,1.0865432361299154,0.5611642578264919,0.5646332115481051,20241221-081607,results_16.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,8,max,42,0.0,0.11510571022160102,1.0865432361299154,0.5611642578264919,0.5646332115481051,20241218-232532,results_28.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,8,max,44,0.0,0.11982253561458242,1.115134804086864,0.5609489621391216,0.5603575650118203,20241221-152438,results_51.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,8,max,44,0.0,0.11982253561458242,1.115134804086864,0.5609489621391216,0.5603575650118203,20241219-044307,results_103.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,4,max,43,0.0,0.17372623058524367,0.8295620047515949,0.543334743713733,0.5462884160756502,20241228-164208,results_160.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,4,max,43,0.0,0.17372623058524367,0.8295620047515949,0.543334743713733,0.5462884160756502,20241221-084601,results_91.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,4,max,42,0.0,0.16996365636721872,0.8153600805063494,0.5404732609785802,0.5492219177591519,20241221-144040,results_105.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,4,max,42,0.0,0.17506612838746113,0.8340604414588269,0.5400559003152089,0.5463725911598253,20241218-212817,results_61.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,4,max,42,0.0,0.17506612838746113,0.8340604414588269,0.5400559003152089,0.5463725911598253,20241228-120937,results_53.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,4,max,42,0.0,0.17506612838746113,0.8340604414588269,0.5400559003152089,0.5463725911598253,20241208-140800,results_86.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,4,max,44,0.0,0.17485407824926147,0.839447035340535,0.5387259339852425,0.5592050827423168,20241221-185551,results_159.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,4,max,44,0.0,0.1662644920095963,0.8023436175870657,0.537811694068343,0.5353150297299233,20241228-191810,results_116.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,4,max,44,0.0,0.1662644920095963,0.8023436175870657,0.537811694068343,0.5353150297299233,20241221-103804,results_149.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,4,max,43,0.0,0.17199447654039476,0.8260196594363095,0.5352341903073286,0.5412432839028584,20241219-033422,results_109.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,4,max,43,0.0,0.17199447654039476,0.8260196594363095,0.5352341903073286,0.5412432839028584,20241221-165933,results_81.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,3,max,42,0.0,0.18538833194014556,0.6827379380189434,0.5269908899873439,0.5384107923203668,20241224-124604,results_164.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,3,max,42,0.0,0.18538833194014556,0.6827379380189434,0.5269908899873439,0.5384107923203668,20241226-125348,results_85.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,3,max,42,0.0,0.18538833194014556,0.6827379380189434,0.5269908899873439,0.5384107923203668,20241226-134240,results_62.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,3,max,42,0.0,0.18538833194014556,0.6827379380189434,0.5269908899873439,0.5384107923203668,20241208-140802,results_95.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,3,diff,42,0.0,0.16623165431859632,0.623900249149459,0.5248978257754854,0.5376244716670248,20241205-113111,results_73.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,3,max,43,0.0,0.20188766008107112,0.7221200719705629,0.5242000979057716,0.5220712443584784,20241226-143033,results_67.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,3,max,43,0.0,0.20188766008107112,0.7221200719705629,0.5242000979057716,0.5220712443584784,20241224-141545,results_179.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,3,max,43,0.0,0.20188766008107112,0.7221200719705629,0.5242000979057716,0.5220712443584784,20241226-151320,results_34.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,3,max,44,0.0,0.1811982526372604,0.6709914939009852,0.5227967917950187,0.5329010853212981,20241224-155139,results_74.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,2,max,43,0.0,0.17504077314299818,0.764711500660838,0.5199578676839315,0.5723345153664302,20241226-115706,results_90.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,2,max,43,0.0,0.17504077314299818,0.764711500660838,0.5199578676839315,0.5723345153664302,20241218-230017,results_77.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,3,max,44,0.0,0.205559184003426,0.7348782923746228,0.5181570133963751,0.5376670069489219,20241224-154452,results_192.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,3,max,44,0.0,0.205559184003426,0.7348782923746228,0.5181570133963751,0.5376670069489219,20241226-160737,results_82.jsonl
